Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
SaturationDescription,,三角形の色の彩度の強調量です,Amount of saturation boost of the triangle colors,三角形颜色饱和度的增强量,三角形顏色飽和度的增強量,삼각형 색 채도의 강조량입니다,Cantidad de realce de saturación de los colores de los triángulos,مقدار تعزيز تشبع ألوان المثلثات,Jumlah peningkatan saturasi warna segitiga
Jitter,,明度ゆらぎ,Brightness Jitter,明度扰动,明度擾動,명도 요동,Variación de brillo,تذبذب السطوع,Fluktuasi Kecerahan
JitterDescription,,三角形ごとの明るさのゆらぎです,Per-triangle fluctuation of brightness,每个三角形的亮度扰动,每個三角形的亮度擾動,삼각형마다의 밝기 요동입니다,Fluctuación del brillo por triángulo,تذبذب السطوع لكل مثلث,Fluktuasi kecerahan per segitiga
QualityBalanced,,標準,Balanced,标准,標準,표준,Estándar,قياسي,Standar
QualityBalancedDescription,,作業解像度と反復回数を抑えた設定です,Uses reduced working resolution and iteration counts,降低工作分辨率与迭代次数的设置,降低工作解析度與迭代次數的設定,작업 해상도와 반복 횟수를 줄인 설정입니다,Configuración con resolución de trabajo e iteraciones reducidas,إعداد بدقة عمل وعدد تكرارات مخفضين,Pengaturan dengan resolusi kerja dan iterasi yang dikurangi
QualityHigh,,高品質,High,高品质,高品質,고품질,Alta,عالية,Tinggi
QualityHighDescription,,品質と処理量の基準設定です,The reference balance of quality and cost,品质与处理量的基准设置,品質與處理量的基準設定,품질과 처리량의 기준 설정입니다,Configuración de referencia entre calidad y coste,الإعداد المرجعي للتوازن بين الجودة والتكلفة,Pengaturan acuan antara kualitas dan beban proses
QualityUltra,,最高品質,Ultra,最高品质,最高品質,최고 품질,Máxima,قصوى,Ultra
QualityUltraDescription,,最大の作業解像度と反復回数を使用します,Uses the largest working resolution and iteration counts,使用最大的工作分辨率与迭代次数,使用最大的工作解析度與迭代次數,최대 작업 해상도와 반복 횟수를 사용합니다,Usa la mayor resolución de trabajo y el mayor número de iteraciones,يستخدم أكبر دقة عمل وأكبر عدد من التكرارات,Menggunakan resolusi kerja dan jumlah iterasi terbesar
TagLowPoly,,ローポリ,Low Poly,低多边形,低多邊形,로우폴리,Low poly,منخفض المضلعات,Low Poly
TagTriangle,,三角形,Triangle,三角形,三角形,삼각형,Triángulo,مثلث,Segitiga
TagPolygon,,ポリゴン,Polygon,多边形,多邊形,폴리곤,Polígono,مضلع,Poligon
UpdateAvailableMessage,,新しいバージョン {0} が公開されています。,A new version {0} is available.,新版本 {0} 已发布。,新版本 {0} 已發布。,새 버전 {0}이(가) 공개되었습니다.,La nueva versión {0} ya está disponible.,تم إصدار نسخة جديدة {0}.,Versi baru {0} telah dirilis.
